Нектарин;1,1;0,3;9;44

Нерка красная;20,3;8,4;0;157

Нуга;7;22;72;465

Нут;20,5;4,3;63;360

Нут вареный;8,9;2,6;27,4;164

Облепиха;1,2;5,4;5,7;82

Овсяные хлопья;12,3;6,2;61,8;352

Огурцы грунтовые;0,8;0,1;2,5;14

Огурцы маринованные;0,8;0;1,3;16

Огурцы соленые;0,8;0,1;1,7;13

Огурцы тепличные;0,7;0,1;1,9;11

Окунь морской;18,2;3,3;0;103

Окунь морской горячего копчения;23,5;8;0;166

Окунь речной;18,5;0,9;0;82

Оленина;19,5;8,5;0;155

Омар;18,8;1,3;0,5;89

Омар вареный;20,5;0,7;0,3;90

Опята;2,2;1,2;0,5;22

Орех макадамия;7,9;75,8;5,2;718

Орехи пекан;9,2;72;4,3;691

Осетр;15,8;15,4;0;202

Осетр каспийский;16,4;10,9;0;164

Осетр холодного копчения, балык;20,4;12,5;0;194

Палтус белокорый;18,9;3;0;103

Пангасиус;15,3;3;0;89

Папайя;0,5;0,26;9,1;43

Пастернак корень;1,4;0,5;9,2;47

Пастила;0,5;следы;80,4;305

Патиссон;0,6;0,1;4,1;19

Пепси;0;0;8,7;38

Перепел, мясо и кожа;19,6;12;0;192

Перец сладкий;1,3;0,1;4,9;26

Перловая крупа;9,3;1,1;66,9;315

Перловая крупа вареная;3,1;0,4;22,2;109

Персик;0,9;0,1;9,5;45

Персик сушеный;3;0,4;57,7;254

Персиковый;0,3;0;16,5;68

Петрушка зелень;3,7;0,4;7,6;49

Петрушка корень;1,5;0,6;10,1;51

Печень говяжья;17,9;3,7;5,3;127

Печень минтая;6;50;0;474

Печень свиная;18,8;3,8;4,7;109

Печень трески;4,2;65,7;1,2;613

Печенье;10,4;10;76,8;415

Печенье овсяное;6,5;14,4;71,8;437

Пиво безалкагольное;0;0;6,1;33

Пикша;17,2;0,5;0;73

Пирожные;5;27,5;59;460

Плотва;17,5;2;0;88

Повидло;0,6;0,5;74;285

Подберезовики;2,1;0,8;1,2;20

Подберезовики сушеные;23,5;9,2;14,3;231

Подосиновики;3,3;0,5;1,2;22

Подосиновики сушеные;35,4;5,4;33,2;315

Помело;0,8;0,04;8,6;38

Помидоры грунтовые;1,1;0,2;3,8;24

Помидоры маринованные;0,5;0,1;2,1;10

Помидоры соленые;0,5;0,1;2,1;11

Помидоры тепличные;0,9;0,1;2,9;17

Помидоры черри;0,8;0,1;2,8;15

Почки говяжьи;15,2;2,8;1,9;86

Пряники Тульские;9;8,6;71,5;380

Путассу;18,5;0,9;0;82

Пшено;11,5;3,3;66,5;342

Пшено вареное;3,5;1,1;23,6;119

Рак речной;15,5;1;1,2;76

Рак речной вареный;20,3;1,3;1;97

Рапана;16,7;1,1;0;77

Рахат-лукум;0,8;0,7;82;320

Редис;1,2;0,1;3,4;20

Редька зеленая;2;0,2;5,6;32

Редька черная;1,9;0,2;6,7;36

Репа;1,5;0,1;6,2;32

Рис белый шлифованный;7;1;74;333

Рис белый шлифованный вареный;2,3;0,2;28,7;130

Рис дикий черный (цицания водная);14,7;1,1;68,7;357

Рис дикий черный вареный;4;0,3;19,5;101

Рис длиннозерный нешлифованный (бурый);7,5;2;73;340

Рис красный нешлифованный;7,5;3;68;330

Рис нешлифованный (бурый) вареный;2,5;0,9;23;112

Розмарин свежий;3,3;5,9;17,6;131

Руккола;2,6;0,7;2,1;25

Сазан;18,2;2,7;0;97

Сайра бланшированная в масле;18,3;23,3;0;283

Салака копченая;25,4;5,6;0;152

Салат листовой;1,5;0,2;2;16

Сало;2,4;89;0;797

Сардельки говяжьи;11,4;18,2;1,3;215

Сардельки свиные;10,1;31,6;1,8;322

Сардины в масле;24,1;13,9;0;221

Сардины в томатном соусе;17;9,9;1,4;162

Сардины с добавлением масла;19;18;0;238

Сахар тростниковый;0;0;99,7;394

Сахар-песок;0;0;99,8;399

Сахар-рафинад;0;0;99,9;400

Свекла;1,2;0,1;7,1;32

Свекла;1,5;0,1;8,8;42

Свекла отварная;1,8;0,1;9,8;48

Свинина жирная;11,7;49,3;0;491

Свинина мясная;14,3;33,3;0;357

Свинина тушеная консервированная;14,9;32,2;0,2;349

Свинина, вырезка;19,4;7,1;0;142

Сдоба;8;16,8;74,4;450

Сельдерей зелень;0,9;0,1;2,1;13

Сельдерей корень;1,3;0,3;6,5;37

Сельдь;17,5;2;0;88

Сельдь атлантическая жирная;17,7;19,5;0;248

Сельдь атлантическая нежирная;19,1;6,5;0;135

Сельдь атлантическая среднесоленая;17;8,5;0;145

Сельдь в растительном масле;16,4;26,5;0;301

Сельдь горячего копчения;21,8;14,3;0;215

Сельдь соленая;19,8;15,4;0;217

Сельдь тихоокеанская жирная;14;15;0;191

Сельдь тихоокеанская нежирная;18;7;0;135

Сельдь тихоокеанская среднесоленая;17,4;17,1;0;224

Семга;21,6;6;0;140

Семга брюшки;25;24;0;310

Семга копченая;22,5;12,5;0;202

Семга соленая потрошеная с головой;22,5;12,5;0;202

Семена конопли неочищенные;20,1;32,5;14;429

Семена конопли очищенные;31,6;48,7;4,7;553

Семена кунжута;19,4;48,7;12,2;565

Семена льна;18,3;42,2;28,9;534

Семена мака;17,5;47,5;14,5;556

Семена чиа;16,5;30,7;7,7;486

Семечки подсолнечника, ядра сушеные;20,8;51,5;17,4;584

Семечки тыквенные, ядра сушеные;30,2;49,1;9,3;559

Сердце говяжье;16;3,5;2;96

Скумбрия;18,7;11,9;0;181

Скумбрия атлантическая;18;13,2;0;191

Скумбрия в масле;14,4;28,9;0;318

Скумбрия горячего копчения;22,1;23,8;0;307

Скумбрия натуральная;17,7;14,4;0;200

Скумбрия холодного копчения;23,4;6,4;0;150

Слива;0,8;0,3;9,6;49

Сливки 10%;2,7;10;4,4;119

Сливки 20%;2,5;20;4;205

Сметана 10%;2,7;10;3,9;119

Сметана 20%;2,5;20;3,4;206

Сметана 30%;2,3;30;3,1;293

Смородина белая;0,5;0,2;8;42

Смородина красная;0,6;0,2;7,7;43

Смородина черная;1;0,4;7,3;44

Сморчки;1,7;0,3;4,2;27

Соевые бобы;36,4;19,9;30,1;446

Соевые бобы вареные;16,6;8,9;9,9;173

Сом;17,2;5,1;0;115

"Сосиски ""Молочные""";11;23,9;0,4;261

Сосиски говяжьи;10,4;20,1;0,8;226

Сосиски куриные;10,8;22,4;4,2;259

Сосиски свиные;9,5;34,3;0;342

Соя зерно;36,7;17,8;17,3;364

Спаржа;1,9;0,1;3,1;21

Спирулина сушеная;57,5;7,72;23,4;290

Спред;0;40;0;360

Ставрида в масле;15,6;27,4;0;309

Ставрида в томатном соусе;14,8;2,3;73;110

Ставрида океаническая;18,5;4,5;0;114

Стерлядь;17;6,1;0;122

Страусиное мясо;21,8;2,3;0;114

Судак;18,4;1,1;0;84

Сулугуни;20,5;22;0,4;286

Сухари из пшеничной муки;11,2;1,4;72,4;331

"Сыр ""Viola""";11;28;2;305

"Сыр ""Адыгейский""";19,8;19,8;1,5;264

"Сыр ""Гауда""";25;27;2;356

"Сыр ""Голландский"" брусковый""";26;26,8;0;352

"Сыр ""Голландский"" круглый""";23,7;30,4;0;375

"Сыр ""Ламбер""";23,7;30,5;0;377

"Сыр ""Ламбер"" сливочный""";23,7;32,5;0;395

"Сыр ""Маасдам""";23,5;26;0;350

"Сыр ""Пармезан""";37,8;27,3;3,4;415

"Сыр ""Российский""";23,2;29,5;0;364

"Сыр ""Тильзитер""";24,4;26;1,9;340

"Сыр ""Фета""";14,2;21,3;4;264

"Сыр ""Эдам""";25;27,8;1,4;357

Сыр моцарелла из цельного молока;22,2;22,3;2,2;300

Сыр плавленый;16,8;11,2;23,8;257

Сыр рикотта из цельного молока;11,3;13;3;174

Сыроежки;1,7;0,7;1,5;19

Творог 18%;15;18;2,8;236

Творог 5%;21;5;3;145

Творог 9%;18;9;3;169

Творог нежирный;22;0,6;3,3;110

Телятина 1 категории;19,7;2;0;97

Терн;1,5;0,3;9,4;54

Терпуг;17,8;3,4;0;102

Тилапия;20,1;1,7;0;96

Тимьян свежий;5,6;1,7;15,9;101

Толокно овсяное;12,5;6;64,9;363

Томатный;1,1;0,2;3,8;21

Тоник;0;0;8,3;34

Топинамбур;2,1;0,1;12,8;61

Торт "Наполеон";6,4;42;39;560
Торт "Полет";5,7;24,8;55,4;456
Торт "Прага";7,2;26,5;65;520
Торт "Сказка";4,3;17,1;46,9;351

Торт медовый;6;29;49;480

Торт сметанно-ореховый;2,9;13,5;35,3;275

Треска атлантическая;17,8;0,7;0;82

Треска тихоокеанская;15,3;0,4;0;69

Тунец в масле;22;15,9;0;232

Тунец голубой;23,3;4,9;0;144

Тунец желтоперый (желтохвостый);24,4;0,5;0;109

Тунец натуральный;22,5;0,7;0;96

Тунец полосатый;22;1; ;103

Тыква;1;0,1;4,4;23

Тыква отварная;1,2;0,1;4,9;26

Тыквенный;0;0;9;38

Укроп;2,5;0,5;6,3;40

Урюк;5;0,4;53;242

Устрица;9;2;4,5;72

Утка дикая, мясо;19,8;4,3;0;123

Утка дикая, мясо и кожа;17,4;15,2;0;211

Утка домашняя, мясо и кожа;15,8;38;0;405

Фазан, грудка;24,3;3,2;0;133

Фазан, мясо и кожа;22,7;9,3;0;181

Фанта;0;0;11,7;48

Фасоль красная вареная;8,7;0,5;22,8;127

Фасоль обыкновенная красная, все виды;23,5;0,8;60;333

Фасоль стручковая;2,5;0,3;3;23

Фейхоа;0.7;0.4;8.8;61

Финики;2,5;0,5;69,2;292

Фисташки жареные без масла;21,1;45,8;17,3;569

Фисташки сырые;20,2;45,3;16,6;560

Форель;19,2;2,1;0;97

Форель копченая;26;3,1;0,5;132

Форель морская;20,5;4,3;0;157

Форель слабосоленая;20,6;10,1;0;186

Форель слабосоленая жирная;23;15;0;227

Фундук (лещина окультуренная);15;61,5;9,4;651

Фундук жареный;17,8;66,1;9,4;703

Халва подсолнечная;11,6;29,7;54;516

Хамса соленая;21,2;9;0;166

Хек;16,6;2,2;0;86

"Хлеб ""Бородинский""";6,9;1,3;40,9;208

Хлеб зерновой (мука пшеничная в/с);8,6;1,4;45,1;228

Хлеб из ржано-пшеничной муки;6,8;1,2;46,4;215

Хлеб пшеничный из муки 1 сорта;7,6;0,9;49,7;226

Хлеб пшеничный из муки высшего сорта;7,6;2,9;51,4;262

Хлеб ржаной;4,7;0,7;49,8;214

Хлеб цельнозерновой из смеси злаков;13,3;4,2;43,3;265

"Хлебцы Dr.Körner ""Бородинские""";11;3;52;280

"Хлебцы Dr.Körner ""Гречневые"" с витаминами";11,6;3;52,4;283

"Хлебцы Dr.Körner ""Рисовые"" с витаминами";6;1;69;310

"Хлебцы Dr.Körner ""Семь злаков""";10;2;57;290

Хрен;3,2;0,4;10,5;59

Хурма;0,5;0,4;15,3;67

Цикорий растворимый;0,1;0;2,8;11

Цуккини;1,2;0,2;2.7;17

Чай зеленый;0;0;0;0

Чай черный без сахара;0,1;0;0;0

Чай черный с молоком и сахаром;0,7;0,8;8,2;4

Чай черный с сахаром;0,1;0;7;28

Чак-чак;8,6;1,9;77,9;363

Черешня;1,1;0,4;10,6;52

Черника;1,1;0,6;7,6;44

Чернослив (слива сушеная);2,3;0,7;57,5;256

Чеснок;6,5;0,5;29,9;149

Чечевица;24,6;1,1;63,4;352

Чечевица вареная;9;0,4;20,1;116

Чечевица красная;21,6;1,1;48;314

Чечевица красная колотая персидская;24,7;1,2;62,5;328

Шампиньоны;4,3;1;0,1;27

Шиповник свежий;1,6;0,7;22,4;109

Шиповник сухой;3,4;1,4;48,3;284

Шоколад горький;8;36;46,8;540

Шоколад молочный;6,9;35,7;54,4;550

"Шоколадный батончик ""Сникерс""";9,3;27,9;54,6;507

Шпик;1,4;92,8;0;841

Шпикачки;10;33;0;337

Шпинат;2,9;0,3;2;23

Шпротный паштет;12;14;5,3;195

Шпроты в масле;17,4;32,4;0,4;363

Щавель;1,5;0,3;2,9;22

Щука;18,4;1,1;0;84

Яблоки;0,4;0,4;9,8;47

Яблоки сушеные;2,2;0,1;59;253

Яблочный;0,5;0,1;10,1;46

Язык говяжий;16;12,1;2,2;173

Язык морской;10,3;5,2;0;88

Язык свиной;15,9;16;2,1;208

Язь;18,2;1;0;81

Яичный порошок;46;37,3;4,5;542

Яйцо гусиное;13,9;13,3;1,4;185

Яйцо куриное;12,7;10,9;0,7;157

Яйцо куриное жареное без масла;14,6;12,6;0,8;174

Яйцо куриное отварное;12,7;11,5;0,7;157

Яйцо перепелиное;11,9;13,1;0,6;168

Яйцо страусиное;12,2;11,7;0,7;118

Яйцо утиное;13,3;14,5;0,1;185

Ячневая крупа;10;1,3;65,4;313

Ячневая крупа вареная;2,3;0,3;15,7;76


